Date,cf_200,cf_2000
2019-04-27,0.059227,0.000137
2019-04-30,0.015401,0.000000
2019-05-02,0.004519,0.000000
2019-05-05,0.023725,0.000334
2019-05-07,0.015554,0.000000
2019-05-10,0.105638,0.001969
2019-05-12,0.000000,0.000000
2019-05-15,0.005116,0.000008
2019-05-17,0.016369,0.000000
2019-05-20,0.000000,0.000000
2019-05-22,0.014791,0.000000
2019-05-25,0.108117,0.000005
2019-05-27,0.002386,0.000000
2019-05-30,0.066473,0.000984
2019-06-01,0.169506,0.000640
2019-06-04,0.071548,0.000087
2019-06-06,0.120712,0.002858
2019-06-09,0.012636,0.000000
2019-06-11,0.011560,0.000027
2019-06-14,0.038932,0.000522
2019-06-16,0.053257,0.000273
2019-06-19,0.045643,0.000006
2019-06-21,0.027619,0.000000
2019-06-24,0.106471,0.000738
2019-06-26,0.068965,0.000421
2019-06-29,0.001471,0.000000
2019-07-01,0.005408,0.000000
2019-07-04,0.086307,0.000697
2019-07-06,0.254953,0.012887
2019-07-09,0.211165,0.004555
2019-07-11,0.041696,0.000057
2019-07-14,0.010250,0.000000
2019-07-16,0.173064,0.000129
2019-07-19,0.112087,0.002446
2019-07-21,0.005634,0.000000
2019-07-24,0.271502,0.005383
2019-07-26,0.000019,0.000000
2019-07-29,0.188516,0.008543
2019-07-31,0.337200,0.021550
2019-08-03,0.537999,0.072143
2019-08-05,0.006176,0.000000
2019-08-08,0.472315,0.201093
2019-08-10,0.422127,0.069184
2019-08-13,0.263861,0.006377
2019-08-15,0.046648,0.000711
2019-08-18,0.304423,0.005679
2019-08-20,0.060799,0.000000
2019-08-23,0.233121,0.000778
2019-08-25,0.094957,0.000255
2019-08-28,0.156605,0.000203
2019-08-30,0.069645,0.000480
2019-09-02,0.331187,0.025681
2019-09-04,0.058085,0.000038
2019-09-07,0.205812,0.001143
2019-09-09,0.262956,0.002077
2019-09-12,0.962815,0.704745
2019-09-14,0.998261,0.976228
2019-09-17,0.560622,0.035539
2019-09-19,0.036836,0.000006
2019-09-22,0.275440,0.029239
2019-09-24,0.911933,0.605243
2019-09-27,0.089003,0.000679
2019-09-29,0.208922,0.000536
2019-10-02,0.243845,0.013977
2019-10-04,0.619681,0.113662
2019-10-07,0.185881,0.000211
2019-10-09,0.069980,0.000122
2019-10-12,0.624692,0.084781
