sample,wavelength,reflectance
"Oak leaf, new growth",2048,0.15797603
Polysterene,2048,0.21119235
HDPE film,2048,0.8772286
PVC,2048,0.10677022
HDPE bottle,2048,0.72801495
Saponite,2048.7,0.44804528
Hectorite,2048.7,0.412774
Sepiolite,2048.7,0.43901744
Magnesite,2048.7,0.5860253
Vermiculite,2048.7,0.75482094
Maple Leaf,2048.7,0.15389483
"Oak leaf, scenesced",2048.7,0.32678944
"Oak leaf, one year old",2048.7,0.16249312
"Oak leaf, new growth",2048.7,0.15828754
Polysterene,2048.7,0.21113596
HDPE film,2048.7,0.8781348
PVC,2048.7,0.10665009
HDPE bottle,2048.7,0.7278735
Saponite,2049.4,0.44848165
Hectorite,2049.4,0.41305435
Sepiolite,2049.4,0.4392433
Magnesite,2049.4,0.5863302
Vermiculite,2049.4,0.75555944
Maple Leaf,2049.4,0.15449844
"Oak leaf, scenesced",2049.4,0.3261364
"Oak leaf, one year old",2049.4,0.1627574
"Oak leaf, new growth",2049.4,0.1585818
Polysterene,2049.4,0.21111023
HDPE film,2049.4,0.8790359
PVC,2049.4,0.10654432
HDPE bottle,2049.4,0.7275939
Saponite,2050.1,0.44884083
Hectorite,2050.1,0.41332352
Sepiolite,2050.1,0.4394523
Magnesite,2050.1,0.586523
Vermiculite,2050.1,0.75585747
Maple Leaf,2050.1,0.1550827
"Oak leaf, scenesced",2050.1,0.32548565
"Oak leaf, one year old",2050.1,0.1630266
"Oak leaf, new growth",2050.1,0.15884478
Polysterene,2050.1,0.21110585
HDPE film,2050.1,0.8793835
PVC,2050.1,0.10645639
HDPE bottle,2050.1,0.7269377
Saponite,2050.8,0.44912815
Hectorite,2050.8,0.41362616
Sepiolite,2050.8,0.43966663
Magnesite,2050.8,0.5866257
Vermiculite,2050.8,0.7559184
Maple Leaf,2050.8,0.15562482
"Oak leaf, scenesced",2050.8,0.32486004
"Oak leaf, one year old",2050.8,0.1632954
"Oak leaf, new growth",2050.8,0.15905145
Polysterene,2050.8,0.21113477
HDPE film,2050.8,0.8791506
PVC,2050.8,0.1063904
HDPE bottle,2050.8,0.72578216
Saponite,2051.5,0.4494127
Hectorite,2051.5,0.41397718
Sepiolite,2051.5,0.4399264
Magnesite,2051.5,0.58673286
Vermiculite,2051.5,0.75611633
Maple Leaf,2051.5,0.15614869
"Oak leaf, scenesced",2051.5,0.32429984
"Oak leaf, one year old",2051.5,0.16357261
"Oak leaf, new growth",2051.5,0.15922713
Polysterene,2051.5,0.21116734
HDPE film,2051.5,0.8784413
PVC,2051.5,0.10633068
HDPE bottle,2051.5,0.72435646
Saponite,2052.2,0.4497731
Hectorite,2052.2,0.41433707
Sepiolite,2052.2,0.44026685
Magnesite,2052.2,0.58693606
Vermiculite,2052.2,0.7568254
Maple Leaf,2052.2,0.15669067
"Oak leaf, scenesced",2052.2,0.32377297
"Oak leaf, one year old",2052.2,0.1638487
"Oak leaf, new growth",2052.2,0.1593997
Polysterene,2052.2,0.21119936
HDPE film,2052.2,0.8778132
PVC,2052.2,0.106264
HDPE bottle,2052.2,0.72309937
Saponite,2052.9,0.45023808
Hectorite,2052.9,0.41463733
Sepiolite,2052.9,0.44067156
Magnesite,2052.9,0.58723444
Vermiculite,2052.9,0.75826204
Maple Leaf,2052.9,0.15727672
"Oak leaf, scenesced",2052.9,0.32324994
"Oak leaf, one year old",2052.9,0.16410024
"Oak leaf, new growth",2052.9,0.15962097
Polysterene,2052.9,0.2112131
HDPE film,2052.9,0.8773238
PVC,2052.9,0.10617666
HDPE bottle,2052.9,0.72243533
Saponite,2053.6,0.4507876
Hectorite,2053.6,0.41486558
Sepiolite,2053.6,0.4410921
Magnesite,2053.6,0.5875682
Vermiculite,2053.6,0.7604145
Maple Leaf,2053.6,0.15789874
"Oak leaf, scenesced",2053.6,0.3227175
"Oak leaf, one year old",2053.6,0.16432221
"Oak leaf, new growth",2053.6,0.159871
Polysterene,2053.6,0.2112361
HDPE film,2053.6,0.877135
PVC,2053.6,0.10607139
HDPE bottle,2053.6,0.7224128
Saponite,2054.3,0.45135033
Hectorite,2054.3,0.4150491
Sepiolite,2054.3,0.4414535
Magnesite,2054.3,0.5878282
Vermiculite,2054.3,0.76307154
